"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 17:18:12 CST 2025","Tue Jan 28 17:18:13 CST 2025","1015","script","test_login","TestLogin","","","test_login_error[hello-123456-\u5bc6\u7801\u957f\u5ea6\u4e0d\u80fd\u5c0f\u4e8e7\u4e2a\u5b57\u7b26]",""
"passed","Tue Jan 28 17:18:08 CST 2025","Tue Jan 28 17:18:08 CST 2025","926","script","test_login","TestLogin","","","test_login_error[None-12345678-\u8d26\u53f7\u4e0d\u80fd\u4e3a\u7a7a]",""
"passed","Tue Jan 28 17:18:13 CST 2025","Tue Jan 28 17:18:14 CST 2025","902","script","test_login","TestLogin","","","test_login_error[he-12345678-\u8d26\u53f7\u5728 3 \u81f3 25\u4e2a\u5b57\u7b26\u4e4b\u95f4]",""
"passed","Tue Jan 28 17:18:15 CST 2025","Tue Jan 28 17:18:16 CST 2025","985","script","test_login","TestLogin","","","test_login_error[hell-12345678-\u8d26\u53f7\u9519\u8bef]",""
"passed","Tue Jan 28 17:18:08 CST 2025","Tue Jan 28 17:18:09 CST 2025","1017","script","test_login","TestLogin","","","test_login_error[hello-None-\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]",""
"passed","Tue Jan 28 17:18:11 CST 2025","Tue Jan 28 17:18:12 CST 2025","1032","script","test_login","TestLogin","","","test_login_error[hello-1234567-\u5bc6\u7801\u9519\u8bef]",""
"passed","Tue Jan 28 17:18:14 CST 2025","Tue Jan 28 17:18:14 CST 2025","977","script","test_login","TestLogin","","","test_login_error[helloo-12345678-\u8d26\u53f7\u9519\u8bef]",""
"passed","Tue Jan 28 17:18:06 CST 2025","Tue Jan 28 17:18:07 CST 2025","903","script","test_login","TestLogin","","","test_login_success[DuFly-1234567]",""
"passed","Tue Jan 28 17:18:05 CST 2025","Tue Jan 28 17:18:06 CST 2025","960","script","test_login","TestLogin","","","test_login_success[hello-12345678]",""
"passed","Tue Jan 28 17:18:09 CST 2025","Tue Jan 28 17:18:10 CST 2025","1002","script","test_login","TestLogin","","","test_login_error[hello-123456789-\u5bc6\u7801\u9519\u8bef]",""
